epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.851,1.04874,4.01926,0.95613,0.00938,0.19049,0.10482,0.07391,0.93347,3.71874,0.83676,0.000232195,0.000232195,0.000232195
2,142.69,0.94681,2.20236,0.90583,0.01153,0.7963,0.40582,0.3107,0.82227,3.12993,0.84356,0.000467286,0.000467286,0.000467286
3,187.678,0.89651,1.70298,0.89066,0.93866,0.21106,0.74657,0.54977,0.85517,1.8264,0.86854,0.000699431,0.000699431,0.000699431
4,234.764,0.83846,1.41446,0.88413,0.80369,0.83212,0.88906,0.68089,0.74271,1.03303,0.84436,0.000700746,0.000700746,0.000700746
5,278.753,0.84993,1.2643,0.88764,0.88764,0.8506,0.9266,0.69166,0.79653,0.84749,0.86629,0.000696328,0.000696328,0.000696328
6,322.835,0.78652,1.16726,0.87325,0.95823,0.95625,0.97755,0.78874,0.66623,0.643,0.83604,0.000691911,0.000691911,0.000691911
7,367.112,0.75657,1.04222,0.86488,0.93417,0.96818,0.9748,0.7726,0.69594,0.6305,0.83814,0.000687493,0.000687493,0.000687493
8,411.734,0.75323,0.98901,0.86561,0.94742,0.94895,0.98514,0.78317,0.76114,0.62883,0.84302,0.000683075,0.000683075,0.000683075
9,456.181,0.76189,0.97859,0.86677,0.95079,0.94356,0.98378,0.78655,0.72214,0.59635,0.84341,0.000678657,0.000678657,0.000678657
10,499.505,0.712,0.90384,0.8569,0.9676,0.97934,0.98366,0.78713,0.69318,0.56151,0.83776,0.000674239,0.000674239,0.000674239
11,543.845,0.71584,0.82869,0.85252,0.95806,0.96106,0.98519,0.77296,0.77241,0.57689,0.84628,0.000669821,0.000669821,0.000669821
12,585.948,0.70202,0.8034,0.85481,0.93877,0.95194,0.97328,0.7853,0.69803,0.5964,0.83333,0.000665403,0.000665403,0.000665403
13,632.324,0.70667,0.78129,0.85865,0.95883,0.97168,0.9861,0.80547,0.6588,0.53939,0.82964,0.000660986,0.000660986,0.000660986
14,676.189,0.69429,0.75478,0.84846,0.96951,0.97978,0.98379,0.79557,0.72632,0.53569,0.83303,0.000656568,0.000656568,0.000656568
15,719.281,0.70946,0.75373,0.85264,0.9551,0.96134,0.98326,0.79382,0.67508,0.5151,0.82906,0.00065215,0.00065215,0.00065215
16,763.328,0.68675,0.71741,0.84487,0.96163,0.98119,0.9868,0.82398,0.61734,0.55124,0.81802,0.000647732,0.000647732,0.000647732
17,808.741,0.66278,0.69617,0.83967,0.9543,0.97313,0.98625,0.82594,0.60012,0.48091,0.81749,0.000643314,0.000643314,0.000643314
18,852.319,0.66048,0.65491,0.83896,0.98113,0.96942,0.98865,0.82165,0.62347,0.47284,0.81872,0.000638896,0.000638896,0.000638896
19,895.783,0.65763,0.6412,0.84764,0.96269,0.97072,0.98651,0.81007,0.62276,0.48934,0.82357,0.000634478,0.000634478,0.000634478
20,939.454,0.67091,0.64581,0.84628,0.9718,0.97853,0.98399,0.7772,0.74387,0.52979,0.83815,0.00063006,0.00063006,0.00063006
21,984.349,0.66939,0.6242,0.83667,0.97148,0.98423,0.98337,0.8182,0.63404,0.5061,0.82203,0.000625642,0.000625642,0.000625642
22,1028.46,0.68591,0.62699,0.84503,0.9481,0.97797,0.98672,0.81605,0.65345,0.49699,0.82183,0.000621225,0.000621225,0.000621225
23,1072.81,0.6395,0.58163,0.83245,0.94106,0.97578,0.98534,0.82634,0.62817,0.4855,0.82193,0.000616807,0.000616807,0.000616807
24,1117.29,0.61951,0.5755,0.84129,0.95171,0.94941,0.98337,0.81955,0.64357,0.49118,0.82518,0.000612389,0.000612389,0.000612389
25,1162.46,0.65884,0.59322,0.84009,0.96258,0.9899,0.98854,0.8315,0.60908,0.45555,0.81851,0.000607971,0.000607971,0.000607971
26,1207.67,0.62577,0.55856,0.83421,0.96421,0.97907,0.98807,0.82807,0.61702,0.45393,0.81565,0.000603553,0.000603553,0.000603553
27,1254.13,0.63658,0.56302,0.83098,0.96355,0.95948,0.98732,0.80891,0.65825,0.4943,0.82364,0.000599135,0.000599135,0.000599135
28,1296.62,0.63604,0.55097,0.84004,0.96005,0.96708,0.98707,0.82393,0.63522,0.47564,0.82543,0.000594717,0.000594717,0.000594717
29,1342.29,0.63881,0.54293,0.8384,0.9688,0.97218,0.98893,0.80791,0.66956,0.46943,0.82342,0.0005903,0.0005903,0.0005903
30,1386.03,0.63936,0.55539,0.83816,0.97746,0.97973,0.98758,0.82048,0.61331,0.46731,0.81915,0.000585882,0.000585882,0.000585882
31,1431.75,0.6281,0.54279,0.84123,0.95178,0.96378,0.98636,0.82745,0.63702,0.45706,0.81958,0.000581464,0.000581464,0.000581464
32,1476.71,0.60731,0.50321,0.8346,0.95342,0.9769,0.98355,0.80898,0.66444,0.47539,0.82526,0.000577046,0.000577046,0.000577046
